id,name,streetAddress,city,state,zipCode,telephone,website,priceRange,category,ratingValue,neighborhood,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Good For,Parking,Attire,Ambience,Alcohol,Outdoor Seating,Wi-Fi,Waiter Service,Caters
599,ringolevio,490 Humboldt St,New York,NY,11222,(347) 335-0056,ringolevio.nyc,$$,Mediterranean;Breakfast & Brunch,4.5,East Williamsburg,Yes,Yes,Yes,Yes,Brunch,Street,Casual,Casual,Full Bar,No,No,Yes,Yes
600,tacos morelos,25 Ave A,New York,NY,10009,(347) 772-5216,,$,Mexican;Street Vendors,4.0,East Village; Alphabet City,No,Yes,Yes,No,Lunch; Late Night,Street,Casual,Casual,No,No,No,No,No
601,tacos el bronco,4324 4th Ave,New York,NY,11220,(718) 788-2229,tacoselbronco.com,$,Mexican,4.5,Sunset Park,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,Yes,Yes
602,public,210 Elizabeth St,New York,NY,10012,(212) 343-7011,public-nyc.com,$$$,American (Traditional);Australian,4.0,Nolita,Yes,No,No,Yes,Brunch; Dinner,Street,Casual,Trendy,Full Bar,Yes,No,Yes,No
603,palma,28 Cornelia St,New York,NY,10014,(212) 691-2223,palmanyc.com,$$$,Italian,4.0,West Village,Yes,No,No,Yes,Dinner,Street,Casual,Romantic,Full Bar,Yes,No,Yes,Yes
604,the jolly goat coffee bar,515 W 47th St,New York,NY,10036,(646) 509-8957,thejollygoat.com,$,Coffee & Tea;Cafes;Ice Cream & Frozen Yogurt,5.0,Hell's Kitchen; Midtown West,No,No,Yes,Yes,Breakfast,Street,Casual,Casual,No,No,Free,No,No
605,"empanadas, son!",174 Delancey St,New York,NY,10002,(646) 882-8131,empanadasson.com,$,Argentine,4.5,Lower East Side,No,Yes,Yes,Yes,Late Night,,Casual,,,No,Free,No,
606,ear inn,326 Spring St,New York,NY,10013,(212) 226-9060,earinn.com,$$,Bars;American (Traditional),4.0,South Village,No,No,Yes,Yes,Dinner; Late Night,Street,Casual,Divey,Full Bar,No,No,Yes,No
607,mother’s ruin,18 Spring St,New York,NY,10012,(212) 219-0942,mothersruinnyc.com,$$,Bars;American (New);Breakfast & Brunch,4.0,Nolita,No,No,No,Yes,Brunch,Street,Casual,Casual,Full Bar,No,No,Yes,No
608,the little owl,90 Bedford St,New York,NY,10014,(212) 741-4695,thelittleowlnyc.com,$$$,American (New),4.0,West Village,Yes,No,No,Yes,Dinner,Street,Casual,Intimate,Beer & Wine Only,No,Free,Yes,Yes
609,larb ubol,480 9th Ave,New York,NY,10018,(212) 564-1822,larbubol.com,$$,Thai,4.0,Hell's Kitchen; Midtown West,Yes,Yes,Yes,Yes,Lunch,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,Yes
610,macdonough café,83 Saratoga Ave,New York,NY,11233,(347) 221-0295,macdonoughcafe.nyc,$,Cafes;Coffee & Tea;Juice Bars & Smoothies,5.0,Bedford Stuyvesant,No,No,Yes,Yes,Breakfast,,Casual,,No,No,Free,,
611,chela & garnacha,33-09 36th Ave,New York,NY,11106,(917) 832-6876,chela-garnacha.com,$$,Mexican;Wine Bars;Gluten-Free,4.5,Astoria,No,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,Yes,No,Yes,Yes
612,the red cat,227 10th Ave,New York,NY,10011,(212) 242-1122,theredcat.com/redcat.php,$$$,American (New),4.0,Chelsea,Yes,No,No,Yes,Dinner,Street,Casual,Romantic,Full Bar,No,No,Yes,
613,mu ramen,12-09 Jackson Ave,New York,NY,11101,(917) 868-8903,ramennyc.wix.com/popup,$$,Ramen,4.0,Hunters Point; Long Island City,Yes,No,No,No,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
614,hibino,10-70 Jackson Ave,New York,NY,11101,(718) 392-5190,hibino-lic.com,$$,Japanese,4.0,Hunters Point; Long Island City,No,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
615,t-swirl crêpe,247 E 14th St,New York,NY,10003,(212) 614-0200,t-swirlcrepe.com,$,Desserts;Creperies;Japanese,4.5,Gramercy; East Village,No,Yes,Yes,Yes,Dessert,Street,Casual,Divey,No,No,Free,No,Yes
616,westville,246 W 18th St,New York,NY,10011,(212) 924-2223,westvillenyc.com,$$,American (New),4.0,Chelsea,No,Yes,Yes,Yes,Brunch,Street,Casual,Casual,Beer & Wine Only,Yes,No,Yes,No
617,brooklyn kolache co,520 DeKalb Ave,New York,NY,11205,(718) 398-1111,brooklynkolacheco.com,$,Coffee & Tea;Bakeries;Cafes,4.5,Bedford Stuyvesant,No,No,Yes,Yes,Breakfast,Street,Casual,Hipster,No,Yes,Free,No,No
618,aurora,70 Grand St,New York,NY,11211,(718) 388-5100,aurorabk.com,$$,Italian;Breakfast & Brunch,4.0,Williamsburg - North Side,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Romantic,Full Bar,Yes,No,Yes,Yes
619,bubby’s,120 Hudson St,New York,NY,10013,(212) 219-0666,bubbys.com/our-restaurants/tr…,$$,American (Traditional);Breakfast & Brunch,3.5,TriBeCa,Yes,No,Yes,Yes,Brunch,Street,Casual,Casual,Full Bar,No,Free,Yes,Yes
620,empanadas cafe,56-27 Van Doren St,New York,NY,11368,(718) 592-7288,empanadascafe.com,$,Latin American,4.5,Corona,No,No,Yes,No,Lunch,Street,Casual,Casual,No,No,No,No,Yes
621,havana social,688 10th Ave,New York,NY,10019,(212) 956-2155,,$$,Cuban;Cocktail Bars;Tapas Bars,4.0,Hell's Kitchen; Midtown West,Yes,Yes,Yes,Yes,Late Night; Dessert,Garage,Casual,Casual,Full Bar,No,Free,Yes,Yes
622,turks & frogs,323 W 11th St #2,New York,NY,10014,(212) 691-8875,turksandfrogs.com,$$,Wine Bars;Restaurants,4.0,West Village,Yes,No,No,Yes,Late Night,Street,Casual,Intimate,,No,,Yes,No
623,new kam hing coffee shop,119 Baxter St Ste B,New York,NY,10013,(212) 925-0425,,$,Chinese;Bakeries,4.5,Little Italy; Chinatown,No,No,Yes,No,Breakfast,Street,Casual,Casual,No,No,No,No,No
624,junior’s restaurant,1515 Broadway,New York,NY,10036,(212) 302-2000,juniorscheesecake.com,$$,Diners;American (Traditional);Breakfast & Brunch,4.0,Theater District; Midtown West,No,Yes,Yes,Yes,Dessert,Garage; Street,Casual,Casual,Full Bar,Yes,No,Yes,Yes
625,beyond sushi midtown west,62 W 56th St,New York,NY,10019,(646) 964-5097,beyondsushinyc.com,$$,Sushi Bars;Vegan;Vegetarian,4.5,Midtown West,Yes,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,Free,No,Yes
626,café sabarsky,Neue Galerie 1048 5th Ave,New York,NY,10028,(212) 288-0665,kg-ny.com,$$,German;Austrian;Cafes,4.0,Upper East Side,No,No,No,Yes,Lunch,Street,Casual,Classy,Beer & Wine Only,No,No,Yes,No
627,ofrenda,113 7th Ave S,New York,NY,10014,(212) 924-2305,ofrendanyc.com,$$,Mexican;Breakfast & Brunch,4.0,West Village,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,Free,Yes,No
628,kafana,116 Ave C,New York,NY,10009,(212) 353-8000,kafananyc.com,$$,Ethnic Food;Modern European,4.0,East Village; Alphabet City,Yes,No,Yes,No,Dinner,Street,Casual,Casual,Beer & Wine Only,Yes,No,Yes,No
629,roberta’s,261 Moore St,New York,NY,11206,(718) 417-1118,robertaspizza.com,$$,Pizza,4.0,East Williamsburg; Bushwick,No,Yes,Yes,Yes,Dinner,Street,Casual,Hipster,Full Bar,Yes,No,Yes,Yes
630,bao bao cafe,61 Lexington Ave Unit B,New York,NY,10010,(917) 388-2479,,$,Cafes;Asian Fusion;Fondue,4.5,Kips Bay; Flatiron,No,No,Yes,Yes,Lunch,,Casual,Casual,No,No,Free,Yes,No
631,risotteria melotti,309 E 5th St,New York,NY,10003,(646) 755-8939,risotteriamelottinyc.com,$$,Italian;Gluten-Free,4.5,East Village,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,Yes
632,the little beet table,333 Park Ave S,New York,NY,10010,(212) 466-3330,thelittlebeettable.com,$$,Gluten-Free,4.0,Flatiron,Yes,No,Yes,Yes,Dinner,Street,Casual,Trendy,Full Bar,No,No,Yes,No
633,dover,412 Ct St,New York,NY,11231,(347) 987-3545,doverbrooklyn.com,$$$,American (New);Bars,4.0,Carroll Gardens,Yes,No,No,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,No,Yes,No
634,shanghai asian cuisine,14A Elizabeth St,New York,NY,10013,(212) 964-5640,shanghaiasiancuisine.com,$$,Shanghainese,4.0,Chinatown,Yes,Yes,Yes,No,Lunch,Street,Casual,Casual,No,No,No,Yes,No
635,stella 34 trattoria,Macy's 6th Floor - 35th & Broadway Entrance 151 W 34th St,New York,NY,10001,(212) 967-9251,,$$,Italian;Pizza,4.0,Midtown West,Yes,No,Yes,Yes,Lunch,Street,Casual,Trendy,Full Bar,No,Free,Yes,Yes
636,waldy’s wood fired pizza & penne,800 6th Ave,New York,NY,10001,(212) 213-5042,waldyspizza.com,$$,Pizza,4.0,Flatiron,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,Beer & Wine Only,No,No,No,Yes
637,kiwiana,847 Union St,New York,NY,11215,(718) 230-3682,kiwiana-nyc.com,$$,American (New);Southern;Breakfast & Brunch,4.0,Park Slope,Yes,No,Yes,Yes,Dinner,Garage; Street,Casual,Casual,Full Bar,Yes,No,Yes,Yes
638,black barn,19 E 26th St,New York,NY,10010,(212) 265-5959,,$$$$,American (New),4.0,Flatiron,Yes,,,Yes,,,Dressy,,Full Bar,No,,Yes,
639,cafe hanamizuki,143 W 29th St,New York,NY,10001,(212) 695-5533,hanamizukiny.com,$$,Cafes,4.5,Chelsea; Midtown West,No,No,Yes,Yes,Brunch,Street,Casual,Casual,No,No,No,No,Yes
640,mezquite nyc,45-06 30th Ave,New York,NY,11103,(718) 255-1722,mezquiterestaurant.com,$$,Mexican;Peruvian;Latin American,4.5,Astoria,Yes,Yes,Yes,Yes,Dessert,Garage,Casual,Casual,No,No,Free,Yes,Yes
641,sweet & sara,43-31 33rd St 4th Fl,New York,NY,11101,(718) 707-2808,sweetandsara.com,$,Desserts;Vegan;Korean,5.0,Sunnyside,No,No,No,No,Dessert,Street,Casual,,No,No,No,No,No
642,pio pio,1746 1st Ave,New York,NY,10128,(212) 426-5800,piopio.com,$$,Latin American;Peruvian,4.0,Yorkville; Upper East Side,No,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
643,taqueria tepango,568 Myrtle Ave,New York,NY,11205,(718) 636-8878,tepango.net,$,Mexican,4.0,Bedford Stuyvesant; Clinton Hill,No,Yes,Yes,Yes,Lunch,Street,Casual,Divey,No,No,No,Yes,No
644,prosperity dumpling,46 Eldridge St,New York,NY,10002,(212) 343-0683,prosperitydumpling.com,$,Chinese,4.5,Lower East Side; Chinatown,No,No,Yes,No,Lunch,Street,Casual,Divey,No,No,No,No,No
645,pisillo italian panini,97 Nassau St,New York,NY,10038,(212) 227-3104,,$$,Italian;Sandwiches,4.5,Financial District,No,Yes,Yes,No,Lunch,Street,Casual,Casual,No,No,Free,No,Yes
646,cariño,82 S 4th St,New York,NY,11211,(718) 384-8282,carinonyc.com,$$,Mexican,4.0,Williamsburg - South Side,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,Free,Yes,Yes
647,breakroom,83 Baxter St,New York,NY,10013,(212) 227-2802,,$,Burgers;Mexican,4.5,Chinatown,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,Beer & Wine Only,No,No,No,Yes
648,cock & bull,23 W 45th St,New York,NY,10036,(212) 819-1900,cockandbullnyc.com,$$,British;Pubs;Gastropubs,4.0,Midtown West,Yes,No,Yes,Yes,Lunch,Street,Casual,Casual,Full Bar,No,Free,Yes,No
649,100 montaditos,176 Bleecker St,New York,NY,10012,(646) 719-1713,100montaditosny.com,$,Tapas/Small Plates;Spanish,4.0,Greenwich Village,Yes,Yes,Yes,Yes,Dinner; Late Night,Street,Casual,Casual,Beer & Wine Only,Yes,Free,Yes,Yes
650,ny dosas,50 Washington Sq S,New York,NY,10014,(917) 710-2092,,$,Indian;Food Stands;Vegetarian,4.5,Greenwich Village,No,No,Yes,No,Lunch,Street,Casual,Casual,No,Yes,No,No,Yes
651,curry-ya,214 E 10th St,New York,NY,10003,(866) 602-8779,nycurry-ya.com,$$,Japanese,4.0,East Village,No,Yes,Yes,No,Lunch; Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
652,le grainne cafe,183 9th Ave,New York,NY,10011,(646) 486-3000,legrainnecafe.com,$$,French,4.0,Chelsea,No,No,Yes,Yes,Brunch,Street,Casual,Casual,Beer & Wine Only,Yes,No,Yes,No
653,sotto 13,140 W.13th Street,New York,NY,10011,(212) 647-1001,sotto13.com,$$,Italian;Pizza;Breakfast & Brunch,4.0,West Village,Yes,Yes,Yes,Yes,Brunch,Garage; Street,Casual,Trendy,Full Bar,Yes,No,Yes,No
654,the black ant,60 2nd Ave,New York,NY,10003,(212) 598-0300,theblackantnyc.com,$$,Mexican,4.0,East Village,Yes,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,No,Yes,No
655,rice noodle cart,153 Centre St,New York,NY,10013,,,$,Chinese,4.5,Chinatown,No,No,Yes,No,,,Casual,,No,No,No,No,
656,the otheroom,143 Perry St,New York,NY,10014,(212) 645-9758,theotheroomnyc.com,$$,Lounges;Wine Bars;American (New),4.0,West Village,No,No,No,Yes,Late Night,Street,Casual,Intimate,Beer & Wine Only,Yes,Free,No,No
657,tuome,536 E 5th St,New York,NY,10009,(646) 833-7811,tuomenyc.com,$$$,American (New),4.5,East Village; Alphabet City,Yes,No,No,Yes,Dinner,Street,Casual,Intimate,Beer & Wine Only,No,No,Yes,No
658,mekelburg’s,293 Grand Ave,New York,NY,11238,(718) 399-2337,mekelburgs.com,$$,"Specialty Food;Beer, Wine & Spirits;American (New)",4.5,Clinton Hill,No,,Yes,Yes,Lunch,Street,Casual,Casual,Full Bar,Yes,Free,No,Yes
659,totto ramen,464 W 51st St,New York,NY,10019,(646) 596-9056,tottoramen.com,$$,Ramen,4.0,Hell's Kitchen; Midtown West,No,No,No,No,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
660,lali restaurant,630 10th Ave,New York,NY,10036,(212) 664-1507,,$,Dominican,4.5,Hell's Kitchen; Midtown West,No,Yes,Yes,No,Lunch,Street,Casual,Divey; Casual,No,No,No,Yes,No
661,ugly kitchen,103 1st Ave,New York,NY,10003,(212) 777-6677,theuglykitchen.com,$$,Bars;Asian Fusion;Filipino,4.0,East Village,Yes,No,Yes,Yes,Dinner,Street,Casual,Trendy,Full Bar,No,Free,Yes,Yes
662,woodrow’s,43 Murray St,New York,NY,10007,(212) 676-0300,woodrowsnyc.com/yelp.shtml,$$,American (Traditional);Pubs,4.0,TriBeCa,Yes,Yes,Yes,Yes,Late Night,Garage,Casual,Casual,Full Bar,No,Free,Yes,No
663,giovanni’s brooklyn eats,1657 8th Ave,New York,NY,11215,(718) 788-8001,giovannisbrooklyneats.com,$$,Italian,4.0,South Slope,No,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,No,No,Yes,Yes
664,napoleon’s southern cuisine & bakery,1180 Bedford Ave,New York,NY,11216,(347) 663-3069,napoleonssoutherncuisine.com,$$,Bakeries;Southern,4.5,Bedford Stuyvesant,No,Yes,Yes,Yes,Brunch,Street,Casual,,No,No,No,No,Yes
665,b side pizza & wine bar,370 W 51st St,New York,NY,10019,(646) 679-7225,bside-nyc.com,$$,Pizza;Italian;Tapas/Small Plates,4.5,Theater District; Hell's Kitchen; Midtown West,No,No,Yes,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
666,amélie,22 W 8th St,New York,NY,10011,(212) 533-2962,ameliewinebar.com/amelienyc,$$,French;Wine Bars,4.5,Greenwich Village,Yes,No,No,Yes,Dinner,Street,Casual,Trendy,Full Bar,No,No,Yes,No
667,piccolo angolo,621 Hudson St,New York,NY,10014,(212) 229-9177,piccoloangolo.com,$$,Italian,4.0,West Village,Yes,No,Yes,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
668,patacon pisao,139 Essex St,New York,NY,10002,(646) 678-5913,pataconpisaonyc.com,$,Venezuelan;Sandwiches,4.5,Lower East Side,No,Yes,Yes,Yes,Late Night,Street,Casual,Casual,No,No,Free,Yes,Yes
669,enoteca maria,27 Hyatt St,New York,NY,10301,(718) 447-2777,enotecamaria.com,$$$,Italian,4.0,,Yes,No,No,No,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,
670,bistro les amis,180 Spring St,New York,NY,10012,(212) 226-8645,bistrolesamis.com,$$,French,4.0,South Village,Yes,No,Yes,Yes,Dinner,Street,Casual,Intimate,Full Bar,Yes,Free,Yes,No
671,takahachi bakery,25 Murray St,New York,NY,10007,(212) 791-5550,takahachi-bakery.com,$$,Bakeries;Japanese;Fruits & Veggies,4.0,TriBeCa; Civic Center,No,No,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,No,Yes
672,the wren,344 Bowery,New York,NY,10012,(212) 388-0148,thewrennyc.com,$$,Bars;Breakfast & Brunch,4.0,East Village; NoHo,No,No,No,Yes,Brunch,Street,Casual,Hipster,Full Bar,No,No,Yes,No
673,chalk point kitchen,527 Broome St,New York,NY,10013,(212) 390-0327,chalkpointkitchen.com,$$,American (Traditional);Breakfast & Brunch,4.0,South Village,Yes,Yes,Yes,Yes,Brunch,Street,Casual,Trendy,Full Bar,No,Free,Yes,Yes
674,taqueria diana,129 2nd Ave,New York,NY,10003,(646) 422-7871,,$,Mexican,4.0,East Village,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,No,Yes
675,eight turn crêpe,55 Spring St,New York,NY,10012,(212) 334-3408,eightturncrepe.com,$,Creperies,4.5,Nolita,No,Yes,Yes,Yes,Dessert,Street,Casual,Casual,No,Yes,Free,No,Yes
676,rice noodle cart,Entrace of East Broadway MTA & Wing Shoon Seafood Restaurant At E Broadway and Rutgers St,New York,NY,10002,,,$,Food Stands,4.5,Lower East Side; Two Bridges,No,No,Yes,No,Breakfast,,Casual,Casual,No,No,No,No,No
677,pickle shack,256 4th Ave,New York,NY,11215,(347) 763-2127,pickleshacknyc.com,$$,Bars;Vegetarian;Sandwiches,4.0,Park Slope; Gowanus,No,No,Yes,Yes,Dinner,Street,Casual,Hipster,Beer & Wine Only,Yes,No,Yes,Yes
678,lunitas,1039 A Fulton St,New York,NY,11238,(347) 987-3799,lunitasbk.com,$,Cafes;American (New);Breakfast & Brunch,4.5,Clinton Hill,No,No,Yes,Yes,Brunch,Street,Casual,Casual,No,No,Free,No,No
679,hometown bar-b-que,454 Van Brunt St,New York,NY,11231,(347) 294-4644,hometownbarbque.com,$$,Barbeque,4.0,Red Hook,No,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,No,No,No,Yes
680,gg’s,511 E 5th St,New York,NY,10009,(212) 687-3641,ggsnyc.com,$$,American (New);Pizza,4.0,East Village; Alphabet City,Yes,No,Yes,Yes,Lunch,,Casual,Casual,Full Bar,No,No,Yes,No
681,smith and mills,71 N Moore St,New York,NY,10013,(212) 226-2515,smithandmills.com,$$,Lounges;American (New),4.0,TriBeCa,No,No,Yes,Yes,Dinner; Late Night,Street,Casual,Intimate,Full Bar,No,No,Yes,No
682,spaghetti incident,231 Eldridge St,New York,NY,10002,(646) 896-1446,spaghettiincidentnyc.com,$$,Italian,4.5,Lower East Side,No,No,Yes,No,Dessert,Street,Casual,Casual,Beer & Wine Only,No,Free,Yes,No
683,21 shanghai house,21 Division St,New York,NY,10002,(212) 226-8998,21shanghaihouse.com,$$,Shanghainese,4.5,Chinatown,Yes,Yes,Yes,Yes,Lunch,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,Yes
684,madison square eats,1 25th St,New York,NY,10010,,madisonsquarepark.org/things-…,$$,Street Vendors;American (Traditional),4.0,Flatiron,No,No,Yes,Yes,Brunch; Dessert,Street,Casual,Divey,Full Bar,Yes,No,No,No
685,the meatball shop,200 9th Ave,New York,NY,10011,(212) 257-4363,themeatballshop.com,$$,Italian;Salad,4.0,Chelsea,No,No,Yes,Yes,Brunch; Lunch; Dinner,Street,Casual,Hipster,Full Bar,Yes,No,Yes,No
686,beyoglu,1431 3rd Ave,New York,NY,10028,(212) 650-0850,,$$,Turkish;Mediterranean,4.0,Yorkville; Upper East Side,Yes,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,No,Yes,No
687,golden fried dumpling,192 Duffield St,New York,NY,11201,(718) 522-2836,,$,Chinese,4.0,Downtown Brooklyn,No,No,Yes,No,Lunch,Street,Casual,Divey,No,No,No,No,No
688,biblio,149 N 6th St,New York,NY,11249,(718) 384-8200,bibliobrooklyn.com,$$,Bars;American (New);Gastropubs,4.0,Williamsburg - North Side,Yes,Yes,Yes,Yes,Brunch,Street,Casual,Casual,Full Bar,Yes,,Yes,No
689,katz’s delicatessen,205 E Houston St,New York,NY,10002,(212) 254-2246,katzsdelicatessen.com,$$,Delis;Sandwiches,4.0,Lower East Side,No,No,Yes,Yes,Lunch,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,Yes
690,fornino,Pier 6 Brooklyn Bridge Park,New York,NY,11201,(718) 422-1107,forninopizza.com,$$,Italian;Pizza,4.0,,No,No,Yes,Yes,Lunch,Street,Casual,Casual,Full Bar,Yes,No,Yes,Yes
691,pepe rosso social,173 Mott St,New York,NY,10013,(212) 219-0019,peperossosocial.com,$$,Italian,4.0,Little Italy; Nolita,Yes,Yes,Yes,Yes,Dessert,Street,Casual,Casual,Beer & Wine Only,No,Free,Yes,Yes
692,tutt cafe,47 Hicks St,New York,NY,11201,(718) 722-7777,,$,Middle Eastern,4.0,Brooklyn Heights,No,Yes,Yes,No,Lunch,Street,Casual,Casual,No,Yes,No,Yes,Yes
693,da capo aperitivo e caffè,1392 Madison Ave,New York,NY,10029,(646) 707-0684,dacaponyc.com,$$,Coffee & Tea;Cafes,5.0,East Harlem,No,No,Yes,Yes,Breakfast,Street,Casual,Casual,Full Bar,Yes,No,No,
694,grape and grain,620 E 6th St,New York,NY,10009,(212) 420-0002,grapeandgrain.net,$$,Wine Bars;American (New),4.0,East Village; Alphabet City,Yes,No,No,Yes,Dinner; Late Night,Street,Casual,Intimate,Beer & Wine Only,No,No,Yes,No
695,gloo,78 Carmine St,New York,NY,10014,(646) 869-4161,gloonyc.com,$$$,French,4.5,West Village,Yes,No,Yes,Yes,Dinner,,Casual,Trendy,Full Bar,No,Free,Yes,Yes
696,da claudio,21 Ann St,New York,NY,10038,(347) 947-6451,daclaudionyc.com,$$,Italian;Cocktail Bars,4.5,Financial District,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,No,No,Yes,Yes
697,bunker vietnamese,46-63 Metropolitan Ave,New York,NY,11385,(718) 386-4282,bunkervietnamese.com,$$,Vietnamese,4.0,Ridgewood,No,Yes,Yes,Yes,Dinner,Street,Casual,Casual,No,No,Free,Yes,Yes
698,rubirosa,235 Mulberry St,New York,NY,10012,(212) 965-0500,rubirosanyc.com,$$,Italian;Pizza,4.0,Nolita,Yes,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,No,No,Yes,No
699,mamo restaurant,323 W Broadway,New York,NY,10013,(646) 964-4641,mamonyc.com,$$$,Italian;French,4.0,SoHo; TriBeCa,Yes,No,Yes,Yes,,Street,Dressy,Trendy,Full Bar,No,No,Yes,
700,bolivian llama party,,New York,NY,11201,(347) 395-5481,,$,American (Traditional);Food Stands,5.0,DUMBO,No,No,Yes,Yes,,,Casual,,No,No,No,No,No
701,vinotapa,201 E 31st St,New York,NY,10016,(212) 725-8466,vinotapa.com,$$,Tapas Bars;Wine Bars,4.5,Midtown East; Kips Bay,Yes,No,Yes,Yes,Late Night,Street,Casual,Casual,Full Bar,Yes,No,Yes,Yes
702,ellary’s greens,33 Carmine St,New York,NY,10014,(212) 920-5072,ellarysgreens.com,$$,American (New);Vegan;Juice Bars & Smoothies,4.0,West Village,Yes,Yes,Yes,Yes,Lunch,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,Yes
703,oasis,161 N 7th St,New York,NY,11211,(718) 218-7607,,$,Middle Eastern,4.0,Williamsburg - North Side,No,No,Yes,Yes,Lunch; Late Night,Street,Casual,Casual,No,No,No,No,No
704,terroir tribeca,24 Harrison St,New York,NY,10013,(212) 625-9463,wineisterroir.com,$$,Wine Bars;American (New),4.0,TriBeCa,Yes,No,No,Yes,Late Night,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,Yes
705,casa enrique,5-48 49th Ave,New York,NY,11101,(347) 448-6040,henrinyc.com/casa-enrique.html,$$,Mexican,4.0,Hunters Point; Long Island City,Yes,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,No,Yes,No
706,craft house,60 Vanduzer St,New York,NY,10301,(718) 442-3433,crafthousesi.com,$$,Barbeque;Gastropubs;Lounges,4.5,Tompkinsville,No,No,Yes,Yes,Late Night; Dessert,Street,Casual,Divey,Beer & Wine Only,Yes,Free,Yes,Yes
707,le paddock,1235 Prospect Ave,New York,NY,11218,(718) 435-0921,lepaddockbrooklyn.com,$$,French;Pizza,4.0,Windsor Terrace,Yes,No,Yes,No,Brunch; Dinner,Street,Casual,Casual,Full Bar,Yes,Free,Yes,No
708,mooncake foods,28 Watts St,New York,NY,10013,(212) 219-8888,mooncakefoods.com,$$,Asian Fusion,4.0,South Village,No,Yes,Yes,No,Lunch,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,Yes
709,pates et traditions,52 Havemeyer St,New York,NY,11211,(718) 302-1878,patesettraditions.com,$$,French,4.5,Williamsburg - North Side,Yes,No,Yes,No,Brunch,Street,Casual,Casual,Beer & Wine Only,Yes,No,Yes,No
710,baoburg,126 N 6th St,New York,NY,11249,(718) 782-1445,baoburgnyc.com,$$,Asian Fusion;Tapas/Small Plates;Thai,4.5,Williamsburg - North Side,Yes,No,No,No,Dinner,Street,Casual,Intimate,Beer & Wine Only,No,No,Yes,Yes
711,mulberry & vine,73 Warren St,New York,NY,10007,(212) 791-6300,mulberryandvine.com,$$,American (New);Latin American;Asian Fusion,4.0,TriBeCa,No,Yes,Yes,Yes,Lunch,Street; Private Lot,Casual,Casual,Beer & Wine Only,No,Free,No,Yes
712,foragers table,233 8th Ave,New York,NY,10011,(212) 243-8888,foragersmarket.com/restaurant,$$,Breakfast & Brunch;American (New),4.0,Chelsea,Yes,No,No,Yes,Brunch,Street,Casual,Trendy,Full Bar,No,No,Yes,Yes
713,izakaya,326 E 6th St,New York,NY,10003,(917) 475-1284,,$$,Japanese,4.5,East Village,Yes,No,Yes,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
714,brooklyn star,593 Lorimer St,New York,NY,11211,(718) 599-9899,thebrooklynstar.com,$$,Southern;Bars,4.0,Williamsburg - North Side,Yes,Yes,Yes,Yes,Brunch; Dinner,Street,Casual,Casual,Full Bar,No,No,Yes,No
715,12 chairs,56 MacDougal St,New York,NY,10012,(212) 254-8640,12chairscafe.com,$$,Middle Eastern;American (Traditional),4.0,South Village,Yes,Yes,Yes,Yes,Lunch,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
